protein name	count
5`-3` exoribonuclease 2	1
AKT1 substrate 1	1
ARPP19	1
ATP binding cassette 50	1
Androgen induced proliferation inhibitor	1
Anion exchange protein (Fragment)	1
Apoptosis antagonizing transcription factor	1
Apoptosis inhibitor 5	1
B-lymphocyte cell-surface antigen B1	1
BCL2 associated transcription factor 1	1
Beta adaptin 3A	1
Bromodomain containing 4	1
C13orf8 protein	3
C6orf111 protein	2
C9orf55 protein	1
CAP-GLY domain containing linker protein 1	1
CASPR4	1
CD2 antigen binding protein 2	1
Chromobox homolog 3	1
Chromosome 17 open reading frame 49	1
Chromosome 6 open reading frame 203	1
Chromosome condensation protein G	1
Coilin	1
Cyclic nucleotide gated channel beta 1	1
DDX21	1
DNA methyltransferase 1	1
DNA topoisomerase II alpha	1
Daxx	1
Dynein light chain A	1
Eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	1
Eukaryotic translation initiation factor 4E nuclear import factor 1	1
Eukaryotic translation initiation factor 5B	1
FK506 binding protein 15, 133kDa	1
FUS interacting protein 1	1
Family with sequence similarity 54, member B	1
Fetal Alzheimer antigen	1
Forkhead box K1	1
FtsJ homolog 3	1
GFAT	1
HIP55	1
HLA-A	1
HSP90A	2
HSP90B	1
Heterogeneous nuclear ribonucleoprotein C	1
High mobility group AT hook 1	1
Hypothetical protein BC008207	1
IMP dehydrogenase 2	1
Intercellular adhesion molecule 1	1
Isoform 4 of Interleukin enhancer-binding factor 3	1
KIAA1949	1
Karyopherin alpha3	1
Leucine rich repeat containing 47	1
Leucine-rich repeat flightless-interacting protein 1	1
Lymphocyte cytosolic protein 1	1
Lyn	2
MARCKS like protein	1
MMRP19	2
Matrin 3	1
Microtubule associated protein 4	1
Myosin regulatory light chain MRLC2	1
N-myristoyl transferase 1	1
NUP98	1
Nin one binding protein	1
Nuclear ubiquitous casein kinase and cyclin dependent kinase substrate	1
Nucleolar protein NOP5	1
Nucleolin	2
Nucleophosmin 1	2
Oxidative stress responsive 1	1
Oxysterol binding protein	1
P160	1
PAG	1
PRP38 pre-mRNA processing factor 38 domain containing B	1
PRP4 pre-mRNA processing factor 4 homolog B	1
Polymyositis/scleroderma autoantigen 1	1
Programmed cell death 5	1
Proline glutamic acid leucine-rich protein 1	1
Proteasome 26S subunit, non ATPase, 2	1
RNA binding motif protein 25	1
RNA binding motif protein 6	1
RNA polymerase III subunit 5	1
RalA binding protein 1	1
Rho GTPase activating protein 30	1
Ribosomal protein L14	1
Ribosomal protein S3	1
SAFB-like, transcription modulator	1
SERPINE1 mRNA binding protein 1	1
SRRM2	3
Secretory carrier membrane protein 3	1
Serine arginine repetitive matrix protein 1	4
Serine/Threonine protein kinase 10	1
Serine/arginine repetitive matrix protein 1	1
Solute carrier family 4, member 7	1
Solute carrier family 43 member 2	1
Sperm associated antigen 9	1
Splicing factor 3B subunit 1	1
Splicing factor, arginine/serine-rich 6	1
Stathmin 1	2
Synapse associated protein 1	1
Synaptosomal associated protein, 23 kd	1
Thioredoxin domain containing protein 1	1
Topoisomerase DNA II, beta	2
Transcriptional repressor p66 alpha	1
Transducin like enhancer of split 3	1
Treacle	1
Tumor protein p53 binding protein 1	3
Tumor rejection antigen 1	1
Tyrosine protein kinase ABL2	1
Ubiquitin specific protease 24	1
Vesicle docking protein p115	1
Zinc finger protein 265	1
Zinc finger protein, subfamily 1A, member 1	1
chromosome 19 open reading frame 7	1
eIF-2B epsilon	1
