protein name	count
A kinase anchor protein 2	2
ACINUS	3
ADP-ribosylation factor interacting protein 1 (arfaptin 1)	1
AF10	1
AKAP95	1
ARPP-21	1
AT rich interactive domain 1A	1
Acetyl-CoA carboxylase alpha	1
Actin binding LIM protein 1	1
Activating transcription factor 1	1
Activating transcription factor 2	1
Anaphase promoting complex, subunit 1	2
Androgen induced proliferation inhibitor	2
Anti-silencing function 1A	1
Antigen identified by monoclonal antibody Ki-67	1
Arsenite resistance protein 2	1
Ataxin 10	1
BCL2 associated transcription factor 1	2
BCL2-like 11 (apoptosis facilitator)	1
BHC110	1
BPY2 interacting protein 1	1
Basic leucine zipper and W2 domains 2	1
Bromodomain adjacent to zinc finger domain, 1B	2
C14orf133 protein	2
C1orf52 protein	1
C5orf3 protein	1
CD5	1
CDC5	1
Calcium regulated heat stable protein 1	1
CapZ-interacting protein	1
Cell division cycle 2 like 2	1
Cell division cycle 2 like 5	1
Chr2 synaptotagmin	2
Chromobox homolog 3	1
Chromosome 1 open reading frame 144	1
Chromosome 6 open reading frame 108	1
Chromosome associated kinesin KIF4A	2
Chromosome condensation 1	1
Coiled coil domain containing 6	1
Coiled-coil domain containing 86	1
Conserved nuclear protein NHN1	1
Cyclin dependent kinase 7	1
Cysteine string protein	1
DDX18	1
DEF6	1
DNA methyltransferase 1	1
DNA topoisomerase II alpha	1
Death associated transcription factor 1	1
Dedicator of cytokinesis 2	1
Dedicator of cytokinesis 7	1
Dihydropyrimidinase-related protein 2	1
Discs, large homolog 7	2
Dyskerin	1
E2-230K	1
ETS translocation variant 6	1
Enhancer of mRNA decapping 3 homolog	1
Epsin 1	1
Eukaryotic translation elongation factor 2	1
Eukaryotic translation initiation factor 5	1
Eukaryotic translation initiation factor 5B	1
Exocyst complex component 4	1
FIP1 like 1	2
FK506 binding protein 4	1
FLJ14936	1
Ferm, RhoGEF and pleckstrin domain protein 2	1
Flightless 1	1
Fodrin beta	1
Forkhead box K2	1
FtsJ homolog 3	1
G patch domain containing 2	1
G protein coupled purinergic receptor P2Y8	1
G protein dependent receptor kinase 2	1
GRK-interacting protein 2	1
GTPase activating Rap/RanGAP domain like 4	3
Glycogen synthase kinase 3 alpha	1
Golgi specific brefeldin A resistance factor 1	1
Guanine nucleotide releasing factor 2	1
HBXAP	1
HIRA interacting protein 3	2
HIV 1 REV binding protein	1
HLA-B associated transcript 2	1
Hect domain and RCC1 like domain 1	1
Hepatoma-derived growth factor-related protein 2	1
Heterogeneous nuclear ribonucleoprotein K	1
High mobility group 20A	1
IQGAP2	1
IWS1 homolog	2
KIAA1271 protein	1
LARP	1
LIM domain only 7	1
LOC388974	1
Lymphocyte cytosolic protein 1	1
Lymphocyte specific protein	1
MAP7 domain containing 1	1
MARCKS like protein	3
MCM2 minichromosome maintenance deficient 2, mitotin	2
MCM3	1
MPP10	1
Matrin 3	1
Mediator of DNA damage checkpoint 1	1
Microtubule associated protein 1A	1
Microtubule associated serine/threonine kinase 3	1
Microtubule-associated protein 1A	1
Mitochondrial ribosomal protein S16	1
NELFE	1
NICE 4 protein	1
NIPA	1
NOP56	1
Nuclear autoantigenic sperm protein	1
Nuclear protein UKp68	1
Nuclear receptor corepressor 2	1
Nucleolar protein 8	1
Nucleolin	1
Nucleoporin 50kDa	1
Nucleosome assembly protein 1 like 4	1
Osteoclast stimulating factor 1	1
Osteopetrosis associated transmembrane protein 1	1
PC4 and SFRS1 interacting protein 1	1
PDGF alpha associated protein 1	1
PHD finger protein 6	1
PKR protein activator	1
PRP4 pre-mRNA processing factor 4 homolog B	3
PRPF31	1
Palladin	1
Peptidyl prolyl isomerase G	1
Phosphatidylinositol 4-kinase alpha	1
Phospholipase C, gamma 1	1
Pinin	1
Pleckstrin homology domain containing, family F (with FYVE domain) member 2	1
Pleckstrin homology domain interacting protein	1
Polypyrimidine tract binding protein 1	1
Programmed cell death 4	1
Protein kinase substrate MK2S4	3
Protein phosphatase inhibitor 2	1
Pumilio2	1
